loc,n_records,area_km2_mean,area_km2_std,area_km2_cv,ndwi_area_km2_mean,ndwi_area_km2_std,ndwi_area_km2_cv,mean_difference,mean_abs_difference,median_difference,std_difference,mean_percent_diff,median_percent_diff,better_method,cv_improvement,pearson_r
456,903,21.871385382059806,4.460444919358727,0.20393975239526643,24.36669368770764,1.1237256190410352,0.04611727932575133,-2.4953083056478405,2.5755966777408634,-1.0889999999999986,4.230051648309978,-10.30948388136411,-4.4308211886494675,ndwi_area_km2,77.38681214226004,0.32569684847295083
457,292,9.607734246575342,2.3476107019761097,0.2443459239948181,11.726528424657534,1.022053518000215,0.08715738204762535,-2.1187941780821915,2.2809482876712326,-1.7806500000000005,2.2999468005053925,-18.068836914225564,-15.721324179003572,ndwi_area_km2,64.33033110489957,0.2638415181327891
2036,584,0.03561626712328767,0.06754503986779162,1.8964660062207177,0.038183732876712326,0.02846120272980961,0.7453750742942071,-0.002567465753424658,0.020900342465753424,-0.008099999999999996,0.05589030210493883,-8.587294813454854,-24.32432432432433,ndwi_area_km2,60.69662879011513,0.5848500079632295
1911,963,0.10436261682242992,0.14828644540222352,1.4208770335313532,0.047155140186915884,0.030543981479697342,0.6477338707641541,0.057207476635514024,0.05878130841121496,0.013499999999999998,0.13754608256761333,128.5799961896315,31.339285714285715,ndwi_area_km2,54.41309448472684,0.441891306951481
1677,1065,4.544172676056339,1.7566700711320185,0.38657643455938057,5.880076901408451,1.1385923343274633,0.19363561963870524,-1.3359042253521127,1.555005633802817,-1.1205000000000007,1.7444974772604918,-22.796653927671038,-19.3390452876377,ndwi_area_km2,49.91013359119758,0.33473076086717946
1684,1045,0.06814248803827751,0.11053295305147162,1.6220856653983962,0.04028727272727273,0.032740365210342154,0.8126726629518993,0.027855215311004784,0.031084880382775126,0.0053999999999999986,0.09681907082372312,100.20591383722876,14.285714285714283,ndwi_area_km2,49.8995225537425,0.5409854347542614
1680,544,0.020792647058823527,0.08582038172865464,4.127438968490357,0.01135919117647059,0.023984228014497646,2.1114380101444667,0.00943345588235294,0.010479044117647059,0.0,0.07738018328010175,51.89673855418068,5.194805194805204,ndwi_area_km2,48.8438708297426,0.4743367275867034
654,499,0.2649769539078156,0.1309852018449003,0.4943267703593178,0.2695364729458918,0.0710877445279639,0.2637407240326783,-0.004559519038076153,0.041526252505010026,-0.009000000000000008,0.10951407679670994,-0.15844245388847775,-3.8250300120048015,ndwi_area_km2,46.646481670217945,0.548639882365267
1912,1241,0.058783561643835615,0.11182566682931334,1.902328877362946,0.04566647864625302,0.048355152388441736,1.058876309754821,0.013117082997582597,0.026168170829975825,0.0,0.09433987362893244,88.28211322015486,0.0,ndwi_area_km2,44.33789433808833,0.549547549993986
1679,1523,0.17663105712409716,0.2749576301621059,1.556677713641982,0.09900236375574524,0.09412313625028129,0.9507160504015663,0.07762869336835193,0.08638877216021013,0.0225,0.23863188379441647,113.4375008369134,24.080536912751686,ndwi_area_km2,38.926597196713,0.5316039537345973
641,134,9.29428656716418,1.3493073906842148,0.14517600473512274,10.225752985074626,0.9242342117390575,0.09038299801374604,-0.9314664179104478,0.9647664179104479,-0.7092,1.3659064028493926,-8.85931189152773,-7.102231742676538,ndwi_area_km2,37.74246771795926,0.32441446119396833
595,1168,0.7306435787671232,0.6661168714163211,0.9116851099140796,0.9938912671232877,0.5671307253316366,0.5706164689152929,-0.26324768835616436,0.3184682363013699,-0.17639999999999995,0.3928727312059759,-28.860479501714043,-25.53619302949062,ndwi_area_km2,37.41079428520338,0.8086816305838276
1681,647,0.06349103554868624,0.08761836212127298,1.3800115459462843,0.061506027820710976,0.05563726737434787,0.9045823530748817,0.001985007727975271,0.019072488408037096,-0.0009,0.057450818980317654,16.009500516776445,-8.738687782805425,ndwi_area_km2,34.45110254823246,0.7663714845513201
276,562,4.1727891459074735,4.551793489238045,1.0908275808046246,5.898958718861209,4.239785694194422,0.7187345930457555,-1.7261695729537367,1.7495279359430604,-0.9198000000000008,2.115925082598342,-49.737573039846154,-44.841041417186275,ndwi_area_km2,34.11107257522798,0.8865258742091296
2038,435,0.3478365517241379,0.7351999675138198,2.1136363153027458,0.49078551724137925,0.6997943587650244,1.425865951991509,-0.14294896551724137,0.3385282758620689,-0.0504,0.5967016901827075,422.29241696277387,-89.4651922507797,ndwi_area_km2,32.53967384699881,0.6551923414570554
1262,690,0.019895217391304346,0.05291605799139708,2.659737611840584,0.05073130434782608,0.09611400149180375,1.8945698859391225,-0.030836086956521742,0.03751434782608696,-0.0144,0.09092101718732856,-52.34171222060119,-70.0,ndwi_area_km2,28.768541772507874,0.3707627145599781
1914,660,0.20216727272727272,0.330132151938718,1.6329653533194375,0.13809818181818181,0.16307711274359232,1.1808780578899831,0.06406909090909091,0.08287090909090909,0.01529999999999998,0.23099498003943972,459.6343080081427,12.811387900355864,ndwi_area_km2,27.685051278673267,0.7636263577850915
596,590,0.08975593220338983,0.13974139281643513,1.55690425564047,0.11782525423728815,0.13719709388310386,1.1644116091343437,-0.028069322033898305,0.04221305084745763,-0.0027,0.07580861451835953,-47.04306713068631,-73.4567901234568,ndwi_area_km2,25.2098126833538,0.850291082124141
594,381,0.5305370078740157,0.5938164139215104,1.1192742544032317,0.6596858267716535,0.5594630914486922,0.8480750514022293,-0.1291488188976378,0.15915354330708661,-0.05940000000000001,0.22976509727596334,-36.59181511704199,-21.72351885098742,ndwi_area_km2,24.229915227130718,0.9223224024664328
