time,loc,image_id,sat_id,area_km2,area_km2_outlier_iqr,area_km2_outlier_zscore,area_km2_outlier_mad,area_km2_zscore,area_km2_mad_score
2007-01-13 20:20:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_202033_20070113,LT05,1.8036,1,0,1,2.174553138091501,17.84191095890411
2021-11-03 20:20:33.000000,1256,LANDSAT-LC08-C02-T1_L2-LC08_202033_20211103,LC08,1.7658,1,0,1,2.1200908610992415,17.453842465753425
2020-11-23 20:30:33.000000,1256,LANDSAT-LC08-C02-T1_L2-LC08_203033_20201123,LC08,1.7397,1,0,1,2.082485955556968,17.185890410958905
2015-02-27 20:30:33.000000,1256,LANDSAT-LC08-C02-T1_L2-LC08_203033_20150227,LC08,1.7226,1,0,1,2.057848258822374,17.010335616438354
2013-11-13 20:20:33.000000,1256,LANDSAT-LC08-C02-T1_L2-LC08_202033_20131113,LC08,1.6956,1,0,1,2.018946632399332,16.73314383561644
2020-11-15 20:30:33.000000,1256,LANDSAT-LE07-C02-T1_L2-LE07_203033_20201115,LE07,1.6713,1,0,1,1.9839351686185944,16.483671232876713
2004-01-21 20:20:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_202033_20040121,LT05,1.665,1,0,1,1.974858122453218,16.418993150684933
1999-02-08 20:20:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_202033_19990208,LT05,1.6524,1,0,1,1.9567040301224652,16.28963698630137
2004-01-20 20:30:33.000000,1256,LANDSAT-LE07-C02-T1_L2-LE07_203033_20040120,LE07,1.5795,1,0,1,1.8516696387802514,15.54121917808219
2017-01-08 20:20:33.000000,1256,LANDSAT-LC08-C02-T1_L2-LC08_202033_20170108,LC08,1.566,1,0,1,1.8322188255687306,15.402623287671235
2015-02-04 20:20:33.000000,1256,LANDSAT-LC08-C02-T1_L2-LC08_202033_20150204,LC08,1.5534,1,0,1,1.8140647332379773,15.273267123287669
2015-01-26 20:30:33.000000,1256,LANDSAT-LC08-C02-T1_L2-LC08_203033_20150126,LC08,1.5444,1,0,1,1.801097524430297,15.180869863013697
1999-09-27 20:30:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_203033_19990927,LT05,1.4796,1,0,1,1.707733621014996,14.515609589041096
1985-08-03 20:30:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_203033_19850803,LT05,1.4661,1,0,1,1.6882828078034748,14.377013698630137
1988-08-27 20:30:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_203033_19880827,LT05,1.4526,1,0,1,1.6688319945919536,14.238417808219177
2014-04-06 20:20:33.000000,1256,LANDSAT-LC08-C02-T1_L2-LC08_202033_20140406,LC08,1.44,1,0,1,1.6506779022612008,14.109061643835616
2000-01-01 20:30:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_203033_20000101,LT05,1.4355,1,0,1,1.6441942978573605,14.062863013698632
1999-11-30 20:30:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_203033_19991130,LT05,1.4346,1,0,1,1.6428975769765926,14.053623287671234
2022-01-06 20:20:33.000000,1256,LANDSAT-LC08-C02-T1_L2-LC08_202033_20220106,LC08,1.422,1,0,1,1.6247434846458395,13.92426712328767
2019-01-21 20:30:33.000000,1256,LANDSAT-LC08-C02-T1_L2-LC08_203033_20190121,LC08,1.4013,1,0,1,1.594918904388174,13.711753424657534
2001-11-11 20:30:33.000000,1256,LANDSAT-LE07-C02-T1_L2-LE07_203033_20011111,LE07,1.3815,1,0,1,1.5663910450112764,13.508479452054793
1987-11-22 20:20:33.000000,1256,LANDSAT-LT05-C02-T1_L2-LT05_202033_19871122,LT05,1.3725,1,0,1,1.553423836203596,13.416082191780824
