loc,n_records,area_km2_mean,area_km2_std,area_km2_cv,ndwi_area_km2_mean,ndwi_area_km2_std,ndwi_area_km2_cv,mean_difference,mean_abs_difference,median_difference,std_difference,mean_percent_diff,median_percent_diff,better_method,cv_improvement,pearson_r
1678,37,66.65937567567568,33.43870682109121,0.5016354636110574,37.018800000000006,52.378680146172066,1.4149210710820463,29.64057567567568,41.91808378378379,31.075199999999995,48.85286201085758,125.68241302897887,108.03602597221251,area_km2,64.5467528992669,0.4210938905550602
2039,573,0.9189471204188482,1.7187566315232516,1.870354227498811,0.13174712041884817,0.6106813248356765,4.6352536806437135,0.7872,0.8549937172774869,0.0729,1.4739227056761464,4135.159870474534,1750.0,area_km2,59.64936643469601,0.550016226039815
1673,155,0.037695483870967744,0.20272649553637326,5.378004862076034,0.028428387096774192,0.26322489464897897,9.259227185591808,0.009267096774193549,0.020949677419354842,0.0036,0.08962778594969208,203.73350775993887,114.28571428571428,area_km2,41.917346293817104,0.9590248716630004
1258,292,0.05891917808219178,0.030258463506184833,0.5135588188955135,0.042864041095890405,0.03750385879030655,0.8749492075748835,0.01605513698630137,0.023477054794520547,0.013499999999999998,0.04161832063762241,79.40674360334638,33.33333333333333,area_km2,41.30415634994903,0.25996857229129927
1263,301,0.1761906976744186,0.23106457116250345,1.311445917476789,0.10455249169435216,0.23167733244486985,2.2158948934679943,0.07163820598006644,0.12012458471760797,0.036000000000000004,0.2681009835281675,299.8959254706704,95.21912350597611,area_km2,40.816420429386625,0.32865208378427424
1261,784,0.11604719387755101,0.1920395037513261,1.6548397021470382,0.05417793367346938,0.1504291734678071,2.776576426381344,0.06186926020408163,0.07276109693877551,0.0009,0.15903148506781523,1998.020165257558,176.42276422764226,area_km2,40.39999452477678,0.5922301084245959
706,550,139.86996872727272,1.6160019448502412,0.011553601960126435,141.09995945454543,2.579668623317896,0.01828256105310166,-1.2299907272727286,1.5470427272727276,-1.296900000000008,2.963415412763183,-0.8199312382616211,-0.9162133794094705,area_km2,36.80534184150119,0.058089552017135185
453,277,11.994092057761733,3.1335063886814893,0.2612541552616902,10.200229602888086,3.735499245477246,0.36621717264281767,1.7938624548736462,3.112502166064982,2.168099999999999,4.644741579116503,26.188131732206276,22.468036201695167,area_km2,28.661413287546996,0.09394075044650689
708,477,2.020603773584906,2.097244042131158,1.0379293899913287,0.7109471698113208,1.028873559728789,1.447187081428066,1.3096566037735848,1.3232830188679243,0.9837,1.4031754636200164,1087.3554107789485,362.7539503386005,area_km2,28.27952907324788,0.8082569516900366
449,897,3.038406020066889,2.644746672230862,0.8704388599692937,1.145391973244147,1.3849747678377056,1.2091710088686731,1.8930140468227425,2.0790160535117055,1.2861000000000002,2.3746953863871383,168.5310548945966,143.3457711442786,area_km2,28.013585044211787,0.44686659048781
2069,539,6.842823562152134,2.5262341513662774,0.3691800801848751,5.540930983302411,2.768409761533817,0.49962899192868787,1.3018925788497218,1.5761037105751392,0.33389999999999986,3.4884502600789933,24.651547755235654,5.930250422491925,area_km2,26.109155763809593,0.13416928453255156
705,178,9.023708426966293,1.6662739094920764,0.1846551141338535,7.276176404494382,1.727295278688357,0.23739051703329145,1.7475320224719102,1.7582814606741575,1.5916499999999996,1.1328119265055319,27.25460628086261,20.196215592961437,area_km2,22.214620684297337,0.7777147539626916
1672,285,0.09338526315789475,0.13886663804651742,1.4870294664343695,0.17957052631578946,0.32690658016689134,1.8204912959490878,-0.08618526315789474,0.16152,0.004500000000000002,0.3209874549899638,132.85580180404176,29.41176470588237,area_km2,18.31713396579974,0.2546336275768659
704,779,0.33313632862644416,0.08742761002526554,0.2624379346009446,0.3907328626444159,0.12391913037294118,0.31714540091221616,-0.05759653401797176,0.08393337612323493,-0.023399999999999976,0.13436486192110245,-8.828086301958717,-6.803346783764544,area_km2,17.249963629904325,0.2282464010688412
871,1002,0.945435628742515,0.6054395702997692,0.6403815890723724,0.6381844311377246,0.4933486501517149,0.7730502752506773,0.3072511976047904,0.3402799401197605,0.2115,0.3448942208272021,102.18024771718405,45.620977263206,area_km2,17.161715146571073,0.8219112562334573
452,478,12.43783619246862,3.704692083568381,0.29785663890730874,11.329425941422594,4.002550477941045,0.3532880217087557,1.108410251046025,1.262137029288703,0.99045,1.310498863260661,13.795400522110123,8.50037898825969,area_km2,15.690139318435081,0.945081474062176
2338,1384,1.8892684248554912,2.0163015591004183,1.067239325324904,0.9999013005780346,1.2478409987559238,1.2479641720983434,0.8893671242774565,0.9252929913294798,0.49635000000000007,1.07836434689409,118.26616890539867,89.76034858387798,area_km2,14.481573334718922,0.8862614012384831
707,343,14.97577696793003,5.378520424639953,0.3591480052192163,10.755034110787172,4.46903587355217,0.4155296791731957,4.220742857142857,4.310212827988338,3.4578000000000024,3.533783760027144,47.955146145031904,32.56427158866183,area_km2,13.56862741216594,0.757445559255473
1260,487,0.4482683778234086,0.5867732898217046,1.3089776545711613,0.3050482546201233,0.4432899735503157,1.4531798390465955,0.14322012320328542,0.16242505133470228,0.0522,0.23867107883876268,528.0488612108661,44.59028885766676,area_km2,9.923216700421786,0.9300751188422222
451,740,0.5938358108108108,0.8290180378405352,1.396039145413968,0.9950570270270271,1.509068544009479,1.5165648832390897,-0.4012212162162163,0.49469229729729736,-0.023400000000000004,1.2808555237691062,-4.088001282538401,-17.56630265210608,area_km2,7.9472852864495955,0.5291447785520185
