time,loc,image_id,sat_id,area_km2,area_km2_outlier_iqr,area_km2_outlier_zscore,area_km2_outlier_mad,area_km2_zscore,area_km2_mad_score
2020-11-24 18:28:22.000000,2453,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20201124T182822_20201124T182847_035394_0422C5_3A4F,S1_GRD,24.9516,1,0,1,2.5862170566512135,5.376701502732246
2019-12-12 18:28:16.000000,2453,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20191212T182816_20191212T182841_030319_0377C3_BD46,S1_GRD,24.9401,1,0,1,2.587039024934597,5.378193989071043
2017-03-03 18:27:12.000000,2453,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20170303T182712_20170303T182737_004548_007EC2_0593,S1_GRD,24.7983,1,0,1,2.5971742512462326,5.396596994535524
2021-03-18 18:27:32.000000,2453,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20210318T182732_20210318T182757_026073_031C67_441A,S1_GRD,24.2389,1,0,1,2.6371576475701315,5.46919672131148
2018-02-13 06:41:13.000000,2453,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20180213T064113_20180213T064138_009601_0114D5_9A47,S1_GRD,24.1868,1,0,1,2.640881521271374,5.475958333333337
2021-10-02 18:28:29.000000,2453,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20211002T182829_20211002T182854_039944_04BA21_2742,S1_GRD,24.182,1,0,1,2.641224603685308,5.47658128415301
2020-03-05 18:28:13.000000,2453,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20200305T182813_20200305T182838_031544_03A24D_D9D0,S1_GRD,23.4743,1,0,1,2.691807817089712,5.56842759562842
2024-02-25 18:28:36.000000,2453,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20240225T182836_20240225T182901_052719_0660FA_B5E9,S1_GRD,23.455,1,0,1,2.693187294295739,5.570932377049185
2020-05-04 18:28:15.000000,2453,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20200504T182815_20200504T182840_032419_03C103_9193,S1_GRD,23.3647,1,0,1,2.6996415322078735,5.582651639344268
2022-11-14 18:28:34.000000,2453,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20221114T182834_20221114T182859_045894_057DB1_19A0,S1_GRD,22.4476,1,0,1,2.7651917159201505,5.701674180327873
2021-11-25 18:27:41.000000,2453,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20211125T182741_20211125T182806_029748_038CFB_CE58,S1_GRD,22.0126,1,0,1,2.7962835596829256,5.75812909836066
2021-04-11 18:27:32.000000,2453,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20210411T182732_20210411T182757_026423_032784_A232,S1_GRD,21.438,1,0,1,2.837353383650949,5.832701502732245
2020-02-16 18:27:26.000000,2453,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20200216T182726_20200216T182751_020298_02670D_3732,S1_GRD,20.9252,1,0,1,2.8740060215395715,5.899253415300551
2021-11-01 18:27:41.000000,2453,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20211101T182741_20211101T182806_029398_03822D_D1AF,S1_GRD,20.4001,1,0,1,2.9115378081139007,5.967401639344268
2021-12-07 18:27:40.000000,2453,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20211207T182740_20211207T182805_029923_03927A_A50C,S1_GRD,19.6115,1,0,1,2.9679033897031513,6.069747267759569
2020-12-11 06:41:34.000000,2453,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20201211T064134_20201211T064159_024651_02EE70_CCC4,S1_GRD,19.5245,1,0,1,2.974121758455706,6.081038251366125
2021-01-29 18:27:32.000000,2453,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20210129T182732_20210129T182757_025373_0305A4_7103,S1_GRD,19.1288,1,1,1,3.0024046149543957,6.132392759562848
2019-03-05 18:27:20.000000,2453,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20190305T182720_20190305T182745_015223_01C7AD_B396,S1_GRD,16.0156,1,1,1,3.2249221505917984,6.53642827868853
2018-03-04 18:28:01.000000,2453,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20180304T182801_20180304T182826_020869_023CB5_994F,S1_GRD,14.583,1,1,1,3.3273179560505364,6.722353142076509
2020-10-01 18:27:35.000000,2453,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20201001T182735_20201001T182800_023623_02CE22_2072,S1_GRD,13.7885,1,1,1,3.3841052431069145,6.825464480874323
2024-03-08 18:28:35.000000,2453,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20240308T182835_20240308T182900_052894_0666E8_55DB,S1_GRD,13.388,1,1,1,3.412731182019538,6.8774419398907165
2021-01-23 18:28:20.000000,2453,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20210123T182820_20210123T182845_036269_044124_57C5,S1_GRD,12.9993,1,1,1,3.4405137099979073,6.927887978142083
2017-11-22 18:27:16.000000,2453,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20171122T182716_20171122T182741_008398_00EDF3_AE10,S1_GRD,11.9729,1,1,1,3.513876166177475,7.061095628415306
2023-12-03 18:28:39.000000,2453,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20231203T182839_20231203T182904_051494_06371B_9D2F,S1_GRD,10.6023,1,1,1,3.6118404904562307,7.238974043715854
2015-01-30 06:41:45.000000,2453,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20150130T064145_20150130T064210_004397_0055F0_7CA0,S1_GRD,10.5361,1,1,1,3.616572168748405,7.2475655737704985
